title,price,bedrooms,location,description,scraped_at
"Lasalle, Grand 4½, NEUF, Tout inclus, Parking gratuit",150000,,"Cavelier Park, Montréal","STYLE CONDO MODERNE au prix d’un appartement. Inclus : Chauffage, éclairage, eau chaude, poêle & frigo, parking extérieur gratuit & possibilité parking intérieur ($), Cuisine avec îlot et salon aire .",2025-09-25 15:53:33.422857
Cession de bail - 4 1/2 St-Henri – 1975$/mois - 450$ Bonus Appro,197500,,"Saint-Henry, Montreal",CESSION DE BAIL — 4 ½ RÉNOVÉ • SAINT-HENRI • 1 975 $/mois • Bonus 450$ à l’abbrobation de crédit du proprio Dispo 1er oct ou 1er Novembre • Cuisine moderne • Lave-vaisselle • laveuse-sécheuse • 2 ...,2025-09-25 15:53:33.436124
Super 4-1/2 Avenue Kent - Darlington/Van Horne/Outremont,150000,,Montreal,"Super Appartements sur Kent Av., Outremont 4-1/2 à louer entièrement rénové 1500.00$ Inclue Réfrigérateur et Cuisinière Entrées laveuse et sécheuse À 5 minutes à pied du centre commercial (Métro, ...",2025-09-25 15:53:33.436732
Grands 4 1/2 NEUFS Métro Pie-IX (1er mois GRATUIT),197500,,"Hochelaga-Maisonneuve, Montréal","✨Grand 4½ Neufs - Hochelaga✨ ***premier mois gratuit*** Octobre ou Novembre 2025 Projets locatifs neufs près du Métro Pie-IX/Viau, Marché Maisonneuve, Parc Olympique, Promenade Ontario ...",2025-09-25 15:53:33.437986
renovated studio apartment near blvd Saint-Larent - ID 1617,109500,0.0,Montreal,"Semi-renovated Akelius studio apartment for rent. Located near saint-laurent in the Plateau Mont-Royal neighborhood, Montreal. studio semi-rénové - 1 salle de bain - étage 3 - environ 250 pieds ...",2025-09-25 15:53:33.438604
Super 4-1/2 Crémazie Ouest / Parc Extension,155000,,City of Montréal,"Super Appartements au Crémazie Ouest, Nouvellement Rénovés 4-1/2 à louer 1550.00$ Inclue Frigo, Cuisinière et Eau Chaud Stationnement disponible (extra) À distance de marche du centre commercial ...",2025-09-25 15:53:33.439362
Big 5 1/2 apartment for rent,185000,3.0,"Saint-Michel, Montréal","Big 5 1/2 Fully renovated apartment in Montreal-Nord area, located on the 1st floor of a triplex on a quiet street, Around 1050 square feet, open space with 3 bedrooms, private balcony on the rear ...",2025-09-25 15:53:33.439806
7 ½ Près d’Oratoire St Joseph,285000,4.0,"Côte-des-Neiges, Montreal","Magnifique 7 ½ de 1800 pc, avec 4 chambres fermées, 2 salles de bain entièrement rénovées, salon double, 2 balcons, étage 5/5 (penthouse, avec une belle vue, juste à côté de la forêt). Cuisine neuve, ",2025-09-25 15:53:33.440686
"Spacious 5 ½ Lower Duplex in NDG – Fully Renovated, Near Loyola",249500,,"Lucien L'Allier, Montreal","Bright, Clean, and Fully Renovated 5 ½ Lower Duplex – NDG West, Near Loyola Campus This spacious ground floor unit offers the perfect mix of comfort and convenience in a prime location. Features 3 ...",2025-09-25 15:53:33.441041
Grand2 1/2avec électroménagers/internet/électros etstationnement,99500,1.0,"Viauville, Montréal","Grand 2 1/2 situé à Hochelaga-Maisonneuve disponible dans l’est au 2e étage, 1 chambre semi fermée, 2 garde-robes, salon/cuisine et 1 salle de bain. Cachet d’époque, Balcon et stationnement arrière. .",2025-09-25 15:53:33.441461
